File: series_165
Data points: 1024
Detected representative subsequence: 3

Representative subsequence 1: position=[89,129]
Representative subsequence 2: position=[236,267]
Representative subsequence 3: position=[490,510]

==== ClaSP Scores ====
Timestep, Score
100, 0.809486
120, 0.784650
140, 0.753715
160, 0.721931
180, 0.759100
200, 0.740329
220, 0.757285
240, 0.783923
260, 0.768452
280, 0.728746
300, 0.700014
320, 0.679403
340, 0.695019
360, 0.731188
380, 0.766921
400, 0.771464
420, 0.746013
440, 0.714488
460, 0.744953
480, 0.769612
500, 0.803385
520, 0.772351
540, 0.770550
560, 0.755530
580, 0.724146
600, 0.650336
620, 0.663507
640, 0.696894
660, 0.688663
680, 0.688037
700, 0.603554
720, 0.540275
740, 0.528409
760, 0.515655
