File: series_52
Data points: 1024
Detected representative subsequence: 2

Representative subsequence 1: position=[107,128]
Representative subsequence 2: position=[217,257]

==== ClaSP Scores ====
Timestep, Score
100, 0.764020
120, 0.739088
140, 0.697362
160, 0.708420
180, 0.716824
200, 0.730256
220, 0.740765
240, 0.722569
260, 0.698124
280, 0.677800
300, 0.666726
320, 0.692714
340, 0.671691
360, 0.648786
380, 0.656478
400, 0.686991
420, 0.676404
440, 0.647302
460, 0.651587
480, 0.656556
500, 0.651223
520, 0.635113
540, 0.654173
560, 0.665888
580, 0.646611
600, 0.670567
620, 0.687641
640, 0.696380
660, 0.685626
680, 0.680596
700, 0.660668
720, 0.649793
740, 0.635841
760, 0.637687
780, 0.651589
800, 0.668346
820, 0.719743
