File: series_14
Data points: 2432
Detected representative subsequence: 9

Representative subsequence 1: position=[94,139]
Representative subsequence 2: position=[256,642]
Representative subsequence 3: position=[1707,1747]
Representative subsequence 4: position=[1831,1896]
Representative subsequence 5: position=[1906,1999]
Representative subsequence 6: position=[2009,2069]
Representative subsequence 7: position=[2104,2183]
Representative subsequence 8: position=[2188,2228]
Representative subsequence 9: position=[2250,2290]

==== ClaSP Scores ====
Timestep, Score
100, 0.866859
120, 0.886749
140, 0.858139
160, 0.838134
180, 0.816036
200, 0.783514
220, 0.781861
240, 0.789233
260, 0.791129
280, 0.810511
300, 0.811585
320, 0.820157
340, 0.825360
360, 0.815138
380, 0.800156
400, 0.812161
420, 0.817590
440, 0.817420
460, 0.819647
480, 0.815566
500, 0.817412
520, 0.816528
540, 0.817473
560, 0.811467
580, 0.810324
600, 0.803422
620, 0.807980
640, 0.804387
660, 0.796699
680, 0.789524
700, 0.785628
720, 0.788292
740, 0.784238
760, 0.779878
780, 0.776164
800, 0.780309
820, 0.788557
840, 0.786909
860, 0.789262
880, 0.792437
900, 0.788253
920, 0.782502
940, 0.781846
960, 0.779506
980, 0.782885
1000, 0.785070
1020, 0.777916
1040, 0.783408
1060, 0.787449
1080, 0.785923
1100, 0.777803
1120, 0.781359
1140, 0.780854
1160, 0.784230
1180, 0.788884
1200, 0.787558
1220, 0.778486
1240, 0.773630
1260, 0.773825
1280, 0.767886
1300, 0.774630
1320, 0.769146
1340, 0.760380
1360, 0.761443
1380, 0.761897
1400, 0.767419
1420, 0.773323
1440, 0.764847
1460, 0.759553
1480, 0.763798
1500, 0.771491
1520, 0.778721
1540, 0.784469
1560, 0.778592
1580, 0.772336
1600, 0.783060
1620, 0.790199
1640, 0.800361
1660, 0.807740
1680, 0.808468
1700, 0.808377
1720, 0.813881
1740, 0.809217
1760, 0.800908
1780, 0.795291
1800, 0.800610
1820, 0.812552
1840, 0.818057
1860, 0.828765
1880, 0.840042
1900, 0.852750
1920, 0.857303
1940, 0.850242
1960, 0.843832
1980, 0.850453
2000, 0.851969
2020, 0.858974
2040, 0.864141
2060, 0.873018
2080, 0.883730
2100, 0.904233
2120, 0.922648
2140, 0.935746
2160, 0.955078
2180, 0.950580
2200, 0.948906
2220, 0.955040
2240, 0.953376
2260, 0.945202
2280, 0.948138
