File: series_45
Data points: 1984
Detected representative subsequence: 8

Representative subsequence 1: position=[82,163]
Representative subsequence 2: position=[218,258]
Representative subsequence 3: position=[282,329]
Representative subsequence 4: position=[356,396]
Representative subsequence 5: position=[773,909]
Representative subsequence 6: position=[1604,1696]
Representative subsequence 7: position=[1707,1747]
Representative subsequence 8: position=[1785,1851]

==== ClaSP Scores ====
Timestep, Score
100, 0.850096
120, 0.831778
140, 0.812665
160, 0.783707
180, 0.755171
200, 0.752819
220, 0.787500
240, 0.821706
260, 0.860521
280, 0.878909
300, 0.888770
320, 0.872584
340, 0.856323
360, 0.836586
380, 0.823963
400, 0.809234
420, 0.795777
440, 0.787749
460, 0.777623
480, 0.777803
500, 0.765686
520, 0.772228
540, 0.780792
560, 0.782127
580, 0.780419
600, 0.777538
620, 0.786760
640, 0.796369
660, 0.791873
680, 0.791041
700, 0.788433
720, 0.784500
740, 0.801360
760, 0.806512
780, 0.809830
800, 0.812924
820, 0.818202
840, 0.818193
860, 0.827029
880, 0.824671
900, 0.820665
920, 0.808656
940, 0.797148
960, 0.786102
980, 0.782313
1000, 0.780039
1020, 0.773376
1040, 0.784302
1060, 0.790343
1080, 0.793908
1100, 0.797922
1120, 0.801241
1140, 0.799828
1160, 0.787519
1180, 0.777810
1200, 0.775636
1220, 0.777989
1240, 0.771331
1260, 0.770258
1280, 0.766404
1300, 0.768803
1320, 0.769698
1340, 0.775074
1360, 0.785792
1380, 0.788776
1400, 0.789571
1420, 0.786661
1440, 0.777149
1460, 0.781314
1480, 0.784156
1500, 0.787125
1520, 0.785523
1540, 0.770895
1560, 0.775456
1580, 0.788697
1600, 0.804607
1620, 0.815287
1640, 0.834594
1660, 0.833548
1680, 0.820383
1700, 0.813720
1720, 0.830933
1740, 0.832707
1760, 0.807501
1780, 0.800609
1800, 0.822979
1820, 0.846370
1840, 0.837961
