File: series_36
Data points: 1472
Detected representative subsequence: 6

Representative subsequence 1: position=[115,135]
Representative subsequence 2: position=[149,189]
Representative subsequence 3: position=[222,262]
Representative subsequence 4: position=[266,306]
Representative subsequence 5: position=[311,400]
Representative subsequence 6: position=[554,574]

==== ClaSP Scores ====
Timestep, Score
100, 0.691008
120, 0.735452
140, 0.723383
160, 0.790907
180, 0.808841
200, 0.790925
220, 0.805014
240, 0.835361
260, 0.824392
280, 0.818768
300, 0.832653
320, 0.852603
340, 0.851191
360, 0.864080
380, 0.873746
400, 0.849580
420, 0.831532
440, 0.802576
460, 0.788259
480, 0.781649
500, 0.773953
520, 0.776190
540, 0.770266
560, 0.757753
580, 0.733268
600, 0.723836
620, 0.726527
640, 0.741824
660, 0.748456
680, 0.736526
700, 0.741715
720, 0.749893
740, 0.739782
760, 0.735801
780, 0.736574
800, 0.726402
820, 0.730250
840, 0.732870
860, 0.735134
880, 0.730454
900, 0.733370
920, 0.715695
940, 0.720407
960, 0.740568
980, 0.746619
1000, 0.724421
1020, 0.718980
1040, 0.698215
1060, 0.710907
1080, 0.735762
1100, 0.756848
1120, 0.769794
1140, 0.790831
1160, 0.773135
1180, 0.761611
1200, 0.785934
1220, 0.744162
1240, 0.707776
1260, 0.668936
1280, 0.674963
1300, 0.661202
1320, 0.671395
