File: series_23
Data points: 2048
Detected representative subsequence: 6

Representative subsequence 1: position=[100,136]
Representative subsequence 2: position=[176,223]
Representative subsequence 3: position=[327,398]
Representative subsequence 4: position=[442,577]
Representative subsequence 5: position=[632,742]
Representative subsequence 6: position=[1029,1094]

==== ClaSP Scores ====
Timestep, Score
100, 0.616762
120, 0.667346
140, 0.709013
160, 0.728987
180, 0.754038
200, 0.769109
220, 0.756879
240, 0.757778
260, 0.776535
280, 0.789563
300, 0.805302
320, 0.818338
340, 0.829947
360, 0.829340
380, 0.829431
400, 0.840915
420, 0.870976
440, 0.891142
460, 0.907922
480, 0.913911
500, 0.909256
520, 0.898020
540, 0.892183
560, 0.883728
580, 0.872105
600, 0.860095
620, 0.848373
640, 0.840157
660, 0.841266
680, 0.840398
700, 0.835582
720, 0.827415
740, 0.819851
760, 0.805359
780, 0.797223
800, 0.793520
820, 0.790579
840, 0.785995
860, 0.781211
880, 0.771842
900, 0.766881
920, 0.772882
940, 0.781918
960, 0.787710
980, 0.791762
1000, 0.796641
1020, 0.804178
1040, 0.811356
1060, 0.811109
1080, 0.811370
1100, 0.799406
1120, 0.792613
1140, 0.788674
1160, 0.788466
1180, 0.788993
1200, 0.792107
1220, 0.784900
1240, 0.784179
1260, 0.788176
1280, 0.791111
1300, 0.793912
1320, 0.791764
1340, 0.780696
1360, 0.772850
1380, 0.774834
1400, 0.770480
1420, 0.770134
1440, 0.769310
1460, 0.756868
1480, 0.742014
1500, 0.734332
1520, 0.729896
1540, 0.722040
1560, 0.734205
1580, 0.740543
1600, 0.738440
1620, 0.745837
1640, 0.745204
1660, 0.756902
1680, 0.758383
1700, 0.744932
1720, 0.725439
1740, 0.690542
1760, 0.688556
1780, 0.702305
1800, 0.671925
1820, 0.662537
1840, 0.677219
1860, 0.696770
1880, 0.689479
1900, 0.698521
