File: series_71
Data points: 2624
Detected representative subsequence: 13

Representative subsequence 1: position=[100,120]
Representative subsequence 2: position=[156,533]
Representative subsequence 3: position=[540,700]
Representative subsequence 4: position=[729,974]
Representative subsequence 5: position=[988,1158]
Representative subsequence 6: position=[1167,1384]
Representative subsequence 7: position=[1389,1496]
Representative subsequence 8: position=[1497,1559]
Representative subsequence 9: position=[1582,1622]
Representative subsequence 10: position=[1628,1786]
Representative subsequence 11: position=[1796,1983]
Representative subsequence 12: position=[2005,2045]
Representative subsequence 13: position=[2048,2368]

==== ClaSP Scores ====
Timestep, Score
100, 0.699495
120, 0.751819
140, 0.757733
160, 0.795020
180, 0.818292
200, 0.821510
220, 0.834185
240, 0.835478
260, 0.849730
280, 0.850216
300, 0.843928
320, 0.847160
340, 0.845432
360, 0.847629
380, 0.838948
400, 0.845375
420, 0.850269
440, 0.844837
460, 0.851998
480, 0.868517
500, 0.867589
520, 0.857698
540, 0.849404
560, 0.851588
580, 0.858536
600, 0.862560
620, 0.861682
640, 0.859723
660, 0.865143
680, 0.869590
700, 0.865237
720, 0.857898
740, 0.866734
760, 0.868768
780, 0.863212
800, 0.866611
820, 0.863497
840, 0.861177
860, 0.860845
880, 0.859560
900, 0.858640
920, 0.862289
940, 0.867268
960, 0.871593
980, 0.876042
1000, 0.883027
1020, 0.886653
1040, 0.886287
1060, 0.889530
1080, 0.889207
1100, 0.891317
1120, 0.889792
1140, 0.885144
1160, 0.879818
1180, 0.877555
1200, 0.883171
1220, 0.885585
1240, 0.884572
1260, 0.889465
1280, 0.888621
1300, 0.881980
1320, 0.877119
1340, 0.874331
1360, 0.875078
1380, 0.875773
1400, 0.878351
1420, 0.887870
1440, 0.896418
1460, 0.901375
1480, 0.906689
1500, 0.915776
1520, 0.919739
1540, 0.920599
1560, 0.916652
1580, 0.909633
1600, 0.907421
1620, 0.907745
1640, 0.907704
1660, 0.905847
1680, 0.902124
1700, 0.902510
1720, 0.904850
1740, 0.905592
1760, 0.907804
1780, 0.903911
1800, 0.900053
1820, 0.903043
1840, 0.908615
1860, 0.910084
1880, 0.907898
1900, 0.908466
1920, 0.909894
1940, 0.909450
1960, 0.901631
1980, 0.908271
2000, 0.921371
2020, 0.928716
2040, 0.925845
2060, 0.915222
2080, 0.917894
2100, 0.923949
2120, 0.928028
2140, 0.927126
2160, 0.909106
2180, 0.909619
2200, 0.920847
2220, 0.917925
2240, 0.909604
2260, 0.906449
2280, 0.920363
2300, 0.917651
2320, 0.890130
2340, 0.898655
2360, 0.905228
2380, 0.851298
2400, 0.821459
2420, 0.781603
2440, 0.776247
2460, 0.754075
2480, 0.757096
