File: series_1
Data points: 3008
Detected representative subsequence: 15

Representative subsequence 1: position=[100,120]
Representative subsequence 2: position=[146,243]
Representative subsequence 3: position=[273,350]
Representative subsequence 4: position=[364,438]
Representative subsequence 5: position=[439,519]
Representative subsequence 6: position=[537,577]
Representative subsequence 7: position=[644,1259]
Representative subsequence 8: position=[1285,1325]
Representative subsequence 9: position=[1329,1615]
Representative subsequence 10: position=[1622,1729]
Representative subsequence 11: position=[1816,1878]
Representative subsequence 12: position=[1895,1935]
Representative subsequence 13: position=[1966,2050]
Representative subsequence 14: position=[2053,2113]
Representative subsequence 15: position=[2229,2392]

==== ClaSP Scores ====
Timestep, Score
100, 0.770750
120, 0.750693
140, 0.785321
160, 0.821061
180, 0.860406
200, 0.877531
220, 0.871262
240, 0.851770
260, 0.830676
280, 0.829876
300, 0.850004
320, 0.858678
340, 0.861648
360, 0.852697
380, 0.845843
400, 0.839440
420, 0.845509
440, 0.841588
460, 0.849829
480, 0.855400
500, 0.862896
520, 0.875849
540, 0.884572
560, 0.886894
580, 0.880308
600, 0.868021
620, 0.859074
640, 0.858278
660, 0.862141
680, 0.868978
700, 0.871472
720, 0.870007
740, 0.868472
760, 0.869407
780, 0.870718
800, 0.874935
820, 0.877053
840, 0.878704
860, 0.881472
880, 0.880907
900, 0.882774
920, 0.880882
940, 0.882252
960, 0.882499
980, 0.884093
1000, 0.882028
1020, 0.884438
1040, 0.890786
1060, 0.892946
1080, 0.893699
1100, 0.894086
1120, 0.895935
1140, 0.900962
1160, 0.899050
1180, 0.899053
1200, 0.904110
1220, 0.903590
1240, 0.905370
1260, 0.901172
1280, 0.891130
1300, 0.883773
1320, 0.880675
1340, 0.883461
1360, 0.883502
1380, 0.882186
1400, 0.876094
1420, 0.876749
1440, 0.874440
1460, 0.876404
1480, 0.877643
1500, 0.871839
1520, 0.869719
1540, 0.874801
1560, 0.884320
1580, 0.891173
1600, 0.891559
1620, 0.886353
1640, 0.888113
1660, 0.897640
1680, 0.902305
1700, 0.905305
1720, 0.905737
1740, 0.902611
1760, 0.893776
1780, 0.882314
1800, 0.876316
1820, 0.868369
1840, 0.865100
1860, 0.865219
1880, 0.860079
1900, 0.847597
1920, 0.842511
1940, 0.835257
1960, 0.827491
1980, 0.823343
2000, 0.822868
2020, 0.816126
2040, 0.812115
2060, 0.811024
2080, 0.810120
2100, 0.809032
2120, 0.797651
2140, 0.789540
2160, 0.787050
2180, 0.794120
2200, 0.805236
2220, 0.826249
2240, 0.843920
2260, 0.852312
2280, 0.864732
2300, 0.869845
2320, 0.856329
2340, 0.840418
2360, 0.849511
2380, 0.846780
2400, 0.798806
2420, 0.794864
2440, 0.789855
2460, 0.794868
2480, 0.800059
2500, 0.799750
2520, 0.796877
2540, 0.787577
2560, 0.768304
2580, 0.755149
2600, 0.739910
2620, 0.737500
2640, 0.743167
2660, 0.763654
2680, 0.762273
2700, 0.757291
2720, 0.768820
2740, 0.765289
2760, 0.769443
2780, 0.783882
2800, 0.776511
2820, 0.708765
2840, 0.636397
