File: series_116
Data points: 768
Detected representative subsequence: 3

Representative subsequence 1: position=[100,120]
Representative subsequence 2: position=[195,215]
Representative subsequence 3: position=[444,532]

==== ClaSP Scores ====
Timestep, Score
100, 0.545975
120, 0.539454
140, 0.533041
160, 0.526627
180, 0.520146
200, 0.513552
220, 0.507155
240, 0.658927
260, 0.674119
280, 0.692771
300, 0.711128
320, 0.729278
340, 0.747302
360, 0.765286
380, 0.783316
400, 0.801479
420, 0.819870
440, 0.838587
460, 0.857738
480, 0.846222
500, 0.844243
520, 0.594910
540, 0.578685
560, 0.591162
580, 0.559756
600, 0.570043
620, 0.581779
