File: series_128
Data points: 768
Detected representative subsequence: 3

Representative subsequence 1: position=[88,149]
Representative subsequence 2: position=[185,265]
Representative subsequence 3: position=[472,512]

==== ClaSP Scores ====
Timestep, Score
100, 0.876517
120, 0.863705
140, 0.816806
160, 0.771227
180, 0.778338
200, 0.809713
220, 0.835477
240, 0.846144
260, 0.824691
280, 0.787752
300, 0.762656
320, 0.744684
340, 0.760815
360, 0.775532
380, 0.762778
400, 0.725392
420, 0.712089
440, 0.719756
460, 0.746985
480, 0.805576
500, 0.836035
520, 0.715172
540, 0.637128
560, 0.609257
580, 0.605899
600, 0.645069
620, 0.595454
